14500510-d1e8-411f-99dc-c4c22cd23112;1/1/2023 12:01:00 AM +01:00;1/1/2023 12:01:01 AM +01:00;pilka;pilki;10
16600510-d1e8-411f-99dc-c4c22cd23112;1/3/2022 05:01:00 AM +01:00;1/1/2023 12:01:00 AM +01:00;ser;sery;20
16440510-d1e8-411f-99dc-c4c22cd23112;3/13/2022 12:01:00 AM +01:00;1/1/2023 12:01:00 AM +01:00;monitor;monitory;15
21600510-d1e8-411f-99dc-c4c22cd23112;9/21/2022 11:01:00 PM +01:00;1/1/2023 12:01:00 AM +01:00;zeszyt;zeszyty;40
32600510-d1e8-411f-99dc-c4c22cd23112;10/17/2022 07:01:00 AM +01:00;1/1/2023 12:01:00 AM +01:00;ksiazka;ksiazki;15
16600110-d1e8-411f-99dc-c4c22cd23112;7/07/2022 03:01:00 AM +01:00;1/1/2023 12:01:00 AM +01:00;witamina;witaminy;12
98a095ca-aa44-4f0a-9c0c-1f0501fc4fa1;1/30/2023 4:13:36 PM +01:00;1/30/2023 4:13:36 PM +01:00;zupa;zupy;10
dcb9e620-a9ca-4c97-a44f-8a80cf69f73e;1/30/2023 4:29:23 PM +01:00;1/30/2023 4:29:23 PM +01:00;zupa;zupy;5
d8003b77-2808-4433-b67d-f8a59dc6d6a5;1/30/2023 4:29:23 PM +01:00;1/30/2023 4:29:23 PM +01:00;1;1;1
00000000-0000-0000-0000-000000000000;1/1/2001 12:00:00 AM +00:00;1/1/2001 12:00:00 AM +00:00;2;2;0
d22d8661-d0ac-45f4-a4f2-e05574f4d38c;1/30/2023 5:48:45 PM +01:00;1/30/2023 5:48:45 PM +01:00;test;test;3
